"No.","Pos. [°2θ]","Intensity [Counts]","Icalc [cts]","Iback [cts]","CT [s]","ESD","D spacings","Q [1/Å]"
"1290","77.3700","40.0000",,,"3.5200","6.3246","1.2324","5.0983"
"1291","77.4300","41.0000",,,"3.5200","6.4031","1.2316","5.1017"
"1292","77.4900","37.0000",,,"3.5200","6.0828","1.2308","5.1050"
"1293","77.5500","38.0000",,,"3.5200","6.1644","1.2300","5.1083"
"1294","77.6100","46.0000",,,"3.5200","6.7823","1.2292","5.1116"
"1295","77.6700","39.0000",,,"3.5200","6.2450","1.2284","5.1150"
"1296","77.7300","55.0000",,,"3.5200","7.4162","1.2276","5.1183"
"1297","77.7900","43.0000",,,"3.5200","6.5574","1.2268","5.1216"
"1298","77.8500","45.0000",,,"3.5200","6.7082","1.2260","5.1249"
"1299","77.9100","45.0000",,,"3.5200","6.7082","1.2252","5.1283"
"1300","77.9700","24.0000",,,"3.5200","4.8990","1.2244","5.1316"
"1301","78.0300","42.0000",,,"3.5200","6.4807","1.2236","5.1349"
"1302","78.0900","34.0000",,,"3.5200","5.8310","1.2228","5.1382"
"1303","78.1500","46.0000",,,"3.5200","6.7823","1.2220","5.1415"
"1304","78.2100","39.0000",,,"3.5200","6.2450","1.2213","5.1449"
"1305","78.2700","44.0000",,,"3.5200","6.6332","1.2205","5.1482"
"1306","78.3300","41.0000",,,"3.5200","6.4031","1.2197","5.1515"
"1307","78.3900","38.0000",,,"3.5200","6.1644","1.2189","5.1548"
"1308","78.4500","42.0000",,,"3.5200","6.4807","1.2181","5.1581"
"1309","78.5100","52.0000",,,"3.5200","7.2111","1.2173","5.1614"
"1310","78.5700","45.0000",,,"3.5200","6.7082","1.2166","5.1647"
"1311","78.6300","36.0000",,,"3.5200","6.0000","1.2158","5.1680"
"1312","78.6900","42.0000",,,"3.5200","6.4807","1.2150","5.1713"
"1313","78.7500","46.0000",,,"3.5200","6.7823","1.2142","5.1746"
"1314","78.8100","53.0000",,,"3.5200","7.2801","1.2135","5.1779"
"1315","78.8700","36.0000",,,"3.5200","6.0000","1.2127","5.1812"
"1316","78.9300","34.0000",,,"3.5200","5.8310","1.2119","5.1845"
"1317","78.9900","48.0000",,,"3.5200","6.9282","1.2111","5.1878"
"1318","79.0500","39.0000",,,"3.5200","6.2450","1.2104","5.1911"
"1319","79.1100","50.0000",,,"3.5200","7.0711","1.2096","5.1944"
"1320","79.1700","42.0000",,,"3.5200","6.4807","1.2088","5.1977"
"1321","79.2300","48.0000",,,"3.5200","6.9282","1.2081","5.2010"
"1322","79.2900","42.0000",,,"3.5200","6.4807","1.2073","5.2043"
"1323","79.3500","47.0000",,,"3.5200","6.8557","1.2065","5.2076"
"1324","79.4100","32.0000",,,"3.5200","5.6569","1.2058","5.2109"
"1325","79.4700","34.0000",,,"3.5200","5.8310","1.2050","5.2141"
"1326","79.5300","32.0000",,,"3.5200","5.6569","1.2043","5.2174"
"1327","79.5900","42.0000",,,"3.5200","6.4807","1.2035","5.2207"
"1328","79.6500","32.0000",,,"3.5200","5.6569","1.2028","5.2240"
"1329","79.7100","50.0000",,,"3.5200","7.0711","1.2020","5.2273"
"1330","79.7700","48.0000",,,"3.5200","6.9282","1.2012","5.2305"
"1331","79.8300","52.0000",,,"3.5200","7.2111","1.2005","5.2338"
"1332","79.8900","44.0000",,,"3.5200","6.6332","1.1997","5.2371"
"1333","79.9500","34.0000",,,"3.5200","5.8310","1.1990","5.2404"
"1334","80.0100","43.0000",,,"3.5200","6.5574","1.1982","5.2436"
"1335","80.0700","50.0000",,,"3.5200","7.0711","1.1975","5.2469"
"1336","80.1300","39.0000",,,"3.5200","6.2450","1.1968","5.2502"
"1337","80.1900","48.0000",,,"3.5200","6.9282","1.1960","5.2535"
"1338","80.2500","36.0000",,,"3.5200","6.0000","1.1953","5.2567"
"1339","80.3100","41.0000",,,"3.5200","6.4031","1.1945","5.2600"
"1340","80.3700","37.0000",,,"3.5200","6.0828","1.1938","5.2632"
